Feature_1,Feature_2,Correlation,Abs_Correlation
price_to_sma_20,price_sma_distance_20,1.0000000000000198,1.0000000000000198
price_to_H1_high,distance_to_H1_high,1.0000000000000155,1.0000000000000155
historical_vol_annual_5,returns_rolling_std_5,1.0000000000000135,1.0000000000000135
historical_vol_annual_5,realized_vol_5,1.0000000000000135,1.0000000000000135
historical_vol_annual_50,realized_vol_50,1.000000000000013,1.000000000000013
historical_vol_annual_50,returns_rolling_std_50,1.000000000000013,1.000000000000013
price_to_sma_5,price_sma_distance_5,1.000000000000012,1.000000000000012
historical_vol_50,historical_vol_annual_50,1.0000000000000115,1.0000000000000115
historical_vol_5,historical_vol_annual_5,1.000000000000011,1.000000000000011
historical_vol_10,returns_rolling_std_10,1.00000000000001,1.00000000000001
historical_vol_10,realized_vol_10,1.00000000000001,1.00000000000001
historical_vol_20,historical_vol_annual_20,1.0000000000000082,1.0000000000000082
historical_vol_50,realized_vol_50,1.0000000000000064,1.0000000000000064
historical_vol_50,returns_rolling_std_50,1.0000000000000064,1.0000000000000064
price_to_H4_close,distance_to_H4_close,1.0000000000000049,1.0000000000000049
bb_position,close_zscore_20,-1.0000000000000044,1.0000000000000044
price_to_D1_low,distance_to_D1_low,1.0000000000000038,1.0000000000000038
price_to_D1_high,distance_to_D1_high,1.0000000000000029,1.0000000000000029
price_to_sma_200,price_sma_distance_200,1.0000000000000027,1.0000000000000027
historical_vol_5,realized_vol_5,1.0000000000000022,1.0000000000000022
historical_vol_5,returns_rolling_std_5,1.0000000000000022,1.0000000000000022
price_to_ema_10,price_ema_distance_10,1.0000000000000016,1.0000000000000016
price_to_H4_high,distance_to_H4_high,1.000000000000001,1.000000000000001
bb_middle,close_rolling_mean_20,1.0000000000000002,1.0000000000000002
sma_20,bb_middle,1.0000000000000002,1.0000000000000002
momentum,close_momentum_10,1.0,1.0
momentum_pct,close_roc_10,1.0,1.0
realized_vol_10,returns_rolling_std_10,1.0,1.0
sma_5,close_rolling_mean_5,1.0,1.0
sma_10,close_rolling_mean_10,1.0,1.0
adx_pos,adx_neg,1.0,1.0
adx,adx_pos,1.0,1.0
adx,adx_neg,1.0,1.0
std_5,close_rolling_std_5,1.0,1.0
realized_vol_20,returns_rolling_std_20,1.0,1.0
hl_spread,total_range,1.0,1.0
oc_spread_pct,body_size_pct,1.0,1.0
oc_spread,body_size,1.0,1.0
std_20,close_rolling_std_20,1.0,1.0
realized_vol_5,returns_rolling_std_5,1.0,1.0
is_tokyo_session,is_asian_session,1.0,1.0
std_50,close_rolling_std_50,1.0,1.0
hl_spread_pct,total_range_pct,1.0,1.0
sma_20,close_rolling_mean_20,1.0,1.0
realized_vol_50,returns_rolling_std_50,1.0,1.0
sma_50,close_rolling_mean_50,1.0,1.0
std_10,close_rolling_std_10,1.0,1.0
bb_width,std_20,-0.9999999999999993,0.9999999999999993
historical_vol_20,realized_vol_20,0.9999999999999993,0.9999999999999993
historical_vol_20,returns_rolling_std_20,0.9999999999999993,0.9999999999999993
bb_width,close_rolling_std_20,-0.9999999999999993,0.9999999999999993
price_to_ema_50,price_ema_distance_50,0.9999999999999989,0.9999999999999989
price_to_sma_50,price_sma_distance_50,0.9999999999999973,0.9999999999999973
price_to_H1_close,distance_to_H1_close,0.9999999999999964,0.9999999999999964
price_to_ema_20,price_ema_distance_20,0.999999999999996,0.999999999999996
